gene_id	Op_Prot_Nat_A	Op_Prot_Nat_B	Op_Prot_Nat_C	Tr_Prot_Nat_A	Tr_Prot_Nat_B	Tr_Prot_Nat_C	Tr_Prot_Alk_A	Tr_Prot_Alk_B	Tr_Prot_Alk_C
scaffold8:hit:88995	0	0	0	0	0	0	0	0	0
scaffold8:hit:88994	20.54	25.44	26.28	29.18	24.26	31.71	18.92	33.56	26.59
scaffold8:hit:88992	0	0.63	0.24	1.08	2.37	1.1	1.63	2.71	1.2
scaffold8:hit:88983	63.23	67	61	73.08	75.94	59.57	68.49	79.49	83.28
scaffold79:hit:277073	0	0	0	0	0	0	0	0	0
scaffold79:hit:277071	0	0	0	0	0	0	0	0.14	0
scaffold79:hit:277019	0	0	0	0	0	0	0	0	0
scaffold79:hit:277017	0	0	0	0	0	0	0	0	0
scaffold79:hit:276921	0	0	0	0	0	0.11	0	0	0
scaffold78:hit:276081	0	0	1.72	2.97	0	0	0	5.98	0
scaffold78:hit:275998	2.09	3.4	2.84	3.02	2.14	3.94	4.6	2.6	3.77
scaffold78:hit:275609	0	0	0	0	0.11	0.09	0	0.11	0
scaffold78:hit:275147	0	0	0	0	0	0	0	0	0
scaffold77:hit:273886	0.35	1.49	1.39	1.97	4.15	2.5	2.92	6.41	4.09
scaffold77:hit:273833	50.68	75.55	62.63	87.21	82.02	84.37	61.64	84.08	69.98
scaffold77:hit:273832	65.36	96.84	73.38	128.99	155.06	107.8	80.93	140.65	88.28
scaffold77:hit:273825	51.52	57.78	50.28	51.59	61.57	49.75	53.78	57.54	56.99
scaffold77:hit:273761	52.8	62.15	38.59	36.42	56.82	41.8	36.42	60.21	44.9
scaffold76:hit:273046	0	1.29	0	0	0.61	1.72	0	4.39	0.99
scaffold76:hit:272980	154.03	16.81	35.33	122.93	151.22	78.08	139.35	119.62	117.76
scaffold75:hit:272045	3.3	6.03	4.57	3.53	0.87	11.6	16.17	7.34	7.6
scaffold75:hit:271968	13.41	2.65	4.8	0	0	0	3.57	2.21	2.06
scaffold75:hit:271967	439.47	645.36	433.42	327.04	257.52	398.1	584.52	497.99	303.59
scaffold75:hit:271966	0	2.28	17.34	0	2.16	14.92	0	1.29	4.1
scaffold75:hit:271959	5.62	0	3.44	2.97	2.35	2.27	0	9.94	5.68
scaffold75:hit:271952	894.09	951.32	1201.36	823.14	377.58	1478.11	1409.42	754.84	1112.85
scaffold75:hit:271891	0	0	0	0	0	0	0	0	0
scaffold75:hit:271882	3	8.29	4.51	0	5.31	20.16	0	3.2	11.26
scaffold75:hit:271875	0	0	0	0	0	0	0	0	0
scaffold75:hit:271869	0	2.32	1.04	1.48	5.41	2.16	3.38	9.09	4.51
scaffold75:hit:271868	0	0	0	0	0	0	0	0	0
scaffold75:hit:271860	0	0	0	0	0.24	0	0	0	0
scaffold75:hit:271827	0	0	0	0	0	0	0	0	0
scaffold743:hit:343678	0	0.72	0	0	0	0	0	0	0.55
scaffold743:hit:343677	0	0	0.53	0	0.68	0.64	0	0	1.11
scaffold74:hit:270923	596.82	371.43	429.69	448.35	365.84	383.11	664.75	329.92	465.82
scaffold74:hit:270902	7.23	19.61	7.73	6.4	15.67	13.03	7.01	14.62	11.81
scaffold74:hit:270845	0	0	0	0	0.19	0.09	0.04	0.13	0
scaffold74:hit:270844	0	0	0	0	0	0.04	0	0	0
scaffold74:hit:270841	0	0	0	0	0	0	0	0	0.05
scaffold74:hit:270636	0	0	0	0	0	0	0	0	0
scaffold73:hit:270036	0.59	47.04	16.78	47.04	100.85	53.23	84.56	214.08	92.6
scaffold73:hit:269965	0	0.55	0	0	0.52	0.12	0	0	0
scaffold721:hit:343516	54.15	66.7	59	58.71	84.12	66.32	57.78	65.57	81.1
scaffold72:hit:268630	0	6.77	3.04	4.67	12.79	8.31	7.5	27.22	15.28
scaffold72:hit:268624	27.8	35.31	26.16	34.7	47.8	28.75	26.15	41.15	30.42
scaffold72:hit:268620	4.31	4.31	4.08	5.59	5.1	3.91	3.45	4.54	3.73
scaffold714:hit:343485	0	0	0	0	0	0	0	0	0
scaffold712:hit:343435	0	0	0	0	0	0	0	0	0
scaffold71:hit:267689	0	0	0	0	0	0	0	0	0
scaffold71:hit:267636	0	0	0	0	0	0	0	0	0
scaffold71:hit:267632	0	0	0.15	0	0.18	0.16	0	0.17	0.15
scaffold71:hit:267554	0	0	0	0	0	0.22	0	0	0.2
scaffold71:hit:267445	23.2	21.95	26.37	39	32.3	24.52	22.82	36.21	23.74
scaffold71:hit:267299	0	0	0	0	0	0	0	0	0
scaffold70:hit:265931	1.87	0.72	0.98	4.03	0.15	3.19	2.6	1.29	0.79
scaffold70:hit:265796	0	1.23	0.51	1.01	3.56	1.57	3.1	8.52	3.51
scaffold70:hit:265794	0	1.4	0.93	1.55	4.68	1.82	2.93	9.76	3.75
scaffold70:hit:265789	0.57	5	1.81	1.88	8.97	1.54	3.5	12.44	5.47
scaffold70:hit:265785	0.04	2.71	1.05	1.92	6.97	2.9	4.67	14.8	5.65
scaffold70:hit:265777	0	0.59	0.67	1.68	2.24	0.64	0.77	2.31	2.5
scaffold70:hit:265771	0	0.48	0.2	0.38	1.28	0.85	0.8	2.59	1.63
scaffold70:hit:265663	9.35	27.68	12.15	11.01	17.03	11.02	7.94	13.08	14.87
scaffold70:hit:265653	1.97	3.08	10.67	1.78	6	14.39	0.97	3.73	8.58
